PLAYER;WIN;SP;2PA;2P%;3PA;3P%;FTA;FT%;ORB;DRB;AST;STL;BLK;TOV;PF;PTS;+/-;;;;;;
DAVIS;0;2159;17;0,647;1;0,000;10;0,900;1;13;2;2;0;0;1;31;-12;;;;;;
DAVIS;1;2199;22;0,455;0;0,000;9;0,778;6;8;3;0;5;1;2;27;12;;;;;;
DAVIS;1;2324;26;0,385;0;0,000;8;0,875;9;6;1;0;2;0;1;27;-1;;;;;;
DAVIS;1;1873;8;0,625;2;0,000;8;0,750;5;10;5;2;2;2;1;16;35;;;;;;
DAVIS;0;2205;19;0,737;2;0,500;10;0,600;5;6;0;0;2;2;2;37;0;;;;;;
DAVIS;1;2260;20;0,550;3;0,667;12;0,750;1;9;1;4;0;2;3;37;5;;;;;;
DAVIS;0;2129;21;0,619;1;1,000;3;1,000;2;12;2;1;2;2;2;32;-6;;;;;;
DAVIS;0;2257;13;0,538;2;0,000;8;0,625;2;12;3;2;2;1;1;19;-3;;;;;;
DAVIS;0;2322;19;0,526;1;1,000;9;0,889;1;7;4;0;3;1;2;31;3;;;;;;
DAVIS;1;2512;20;0,500;1;1,000;6;0,500;3;8;7;1;2;3;2;26;3;;;;;;
DAVIS;0;2330;22;0,591;4;0,500;10;0,800;5;8;4;0;1;2;2;40;-6;;;;;;
DAVIS;1;1576;18;0,611;1;0,000;4;1,000;2;6;2;2;4;2;4;26;6;;;;;;
DAVIS;0;2349;15;0,733;2;0,500;10;0,800;4;13;8;4;2;2;3;33;-6;;;;;;
DAVIS;0;2129;13;0,538;2;0,000;8;0,750;2;8;3;0;5;3;4;20;-17;;;;;;
DAVIS;0;2568;16;0,625;1;0,000;10;0,900;3;14;6;3;5;5;2;29;-13;;;;;;
DAVIS;0;2458;19;0,684;3;0,000;7;0,714;3;3;4;0;2;4;4;31;-10;;;;;;
DAVIS;1;2342;14;0,714;1;0,000;4;0,500;1;9;1;3;1;3;1;22;-4;;;;;;
DAVIS;1;2389;15;0,733;2;1,000;14;0,929;1;10;6;0;1;3;4;41;0;;;;;;
DAVIS;0;1900;9;0,667;2;0,000;1;1,000;0;5;1;1;2;3;4;13;-24;;;;;;
DAVIS;0;2356;20;0,250;1;0,000;6;0,833;2;13;11;1;4;6;1;15;-12;;;;;;
DAVIS;1;2304;16;0,563;1;0,000;10;0,900;3;12;5;2;1;2;3;27;8;;;;;;
DAVIS;1;1983;17;0,706;0;0,000;5;0,800;5;7;9;1;1;1;2;28;21;;;;;;
DAVIS;0;2114;12;0,750;1;0,000;11;0,727;4;8;6;3;2;1;1;26;-12;;;;;;
DAVIS;1;1582;6;0,667;1;0,000;6;1,000;3;11;3;0;0;0;0;14;3;;;;;;
